FlowCell Text Data File: 181025_setA_mat2_s1.csv
Software Version: 1.46A
Date: 2018-10-25
Time: 10:17:31
User: culviner

Experiment name: 181025_setA_mat2

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 674892
Source A Zero: 57784.6
Sample B Zero: 964964.6
Source B Zero: 75220.1

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
515881, 57807, 715513, 75173, 0.00, 0.550535, 0.601588, 0.915138, , 
516245, 57850, 715967, 75193, 0.02, 0.550614, 0.600845, 0.916398, , 
516263, 57867, 715945, 75177, 0.06, 0.551144, 0.600478, 0.917841, , 
516198, 57849, 715845, 75171, 0.10, 0.550765, 0.600599, 0.917025, , 
516128, 57831, 715753, 75170, 0.14, 0.550405, 0.600831, 0.916073, , 
516153, 57833, 715797, 75174, 0.18, 0.550377, 0.600815, 0.916051, , 
516101, 57824, 715717, 75183, 0.22, 0.550265, 0.601281, 0.915154, , 
516138, 57829, 715756, 75173, 0.26, 0.550295, 0.600903, 0.915780, , 
516019, 57803, 715591, 75176, 0.30, 0.549847, 0.601448, 0.914204, , 
516134, 57815, 715749, 75189, 0.34, 0.549815, 0.601352, 0.914299, , 
516162, 57818, 715787, 75192, 0.38, 0.549811, 0.601325, 0.914331, , 
516091, 57798, 715692, 75198, 0.42, 0.549384, 0.601754, 0.912972, , 
516120, 57818, 715717, 75170, 0.46, 0.549977, 0.600933, 0.915206, , 
516086, 57808, 715666, 75179, 0.50, 0.549758, 0.601318, 0.914256, , 
515928, 57783, 715450, 75170, 0.54, 0.549499, 0.601685, 0.913268, , 
515882, 57770, 715396, 75180, 0.58, 0.549221, 0.602105, 0.912169, , 
515975, 57789, 715515, 75169, 0.62, 0.549525, 0.601475, 0.913630, , 
516092, 57807, 715662, 75175, 0.66, 0.549699, 0.601222, 0.914303, , 
516361, 57842, 716031, 75207, 0.70, 0.549871, 0.601040, 0.914865, , 
516219, 57813, 715846, 75213, 0.74, 0.549408, 0.601722, 0.913059, , 
516228, 57806, 715863, 75229, 0.78, 0.549124, 0.602103, 0.912011, , 
516157, 57805, 715756, 75209, 0.82, 0.549370, 0.601868, 0.912775, , 
516167, 57804, 715771, 75206, 0.86, 0.549295, 0.601746, 0.912836, , 
516237, 57822, 715864, 75202, 0.91, 0.549655, 0.601377, 0.913994, , 
516358, 57845, 716009, 75198, 0.95, 0.549989, 0.600861, 0.915335, , 
516226, 57816, 715849, 75207, 0.98, 0.549486, 0.601553, 0.913446, , 
516280, 57821, 715908, 75214, 1.03, 0.549449, 0.601574, 0.913352, , 
