FlowCell Text Data File: 181017_setA_mat1_s4.csv
Software Version: 1.46A
Date: 2018-10-17
Time: 13:23:48
User: culviner

Experiment name: 181017_setA_maturation_1

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 691917
Source A Zero: 58376.9
Sample B Zero: 989106.6
Source B Zero: 75361.9

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
541607, 58152, 746202, 75207, 0.00, 0.493246, 0.563862, 0.874764, , 
541928, 58189, 746650, 75205, 0.00, 0.493335, 0.562598, 0.876887, , 
541748, 58145, 746413, 75218, 0.02, 0.492467, 0.563587, 0.873809, , 
541618, 58124, 746222, 75209, 0.06, 0.492219, 0.563861, 0.872944, , 
541685, 58131, 746294, 75204, 0.10, 0.492212, 0.563533, 0.873441, , 
541718, 58135, 746323, 75201, 0.14, 0.492229, 0.563374, 0.873715, , 
541642, 58119, 746203, 75187, 0.18, 0.491952, 0.563323, 0.873305, , 
541649, 58098, 746223, 75225, 0.22, 0.491187, 0.564287, 0.870455, , 
541466, 58081, 745959, 75185, 0.26, 0.491279, 0.563928, 0.871173, , 
541620, 58091, 746161, 75211, 0.30, 0.491050, 0.564080, 0.870532, , 
541563, 58083, 746071, 75197, 0.34, 0.490983, 0.563947, 0.870618, , 
541647, 58095, 746176, 75200, 0.38, 0.491088, 0.563744, 0.871119, , 
541749, 58112, 746305, 75194, 0.42, 0.491302, 0.563235, 0.872286, , 
541773, 58106, 746340, 75208, 0.46, 0.491000, 0.563516, 0.871315, , 
541718, 58091, 746255, 75209, 0.50, 0.490679, 0.563772, 0.870351, , 
541999, 58144, 746603, 75196, 0.54, 0.491484, 0.562484, 0.873775, , 
542001, 58140, 746616, 75204, 0.58, 0.491336, 0.562663, 0.873233, , 
542099, 58157, 746742, 75206, 0.62, 0.491564, 0.562377, 0.874083, , 
541957, 58127, 746542, 75199, 0.66, 0.491044, 0.562729, 0.872613, , 
542041, 58146, 746640, 75189, 0.70, 0.491396, 0.562196, 0.874065, , 
542145, 58152, 746790, 75204, 0.74, 0.491215, 0.562194, 0.873746, , 
542291, 58185, 746961, 75189, 0.78, 0.491824, 0.561330, 0.876177, , 
542295, 58180, 746960, 75195, 0.82, 0.491634, 0.561494, 0.875582, , 
542225, 58166, 746868, 75194, 0.86, 0.491405, 0.561715, 0.874830, , 
541889, 58112, 746414, 75180, 0.90, 0.490773, 0.562565, 0.872384, , 
541989, 58128, 746545, 75179, 0.94, 0.490959, 0.562185, 0.873305, , 
541982, 58115, 746547, 75197, 0.98, 0.490528, 0.562662, 0.871798, , 
542045, 58135, 746611, 75175, 1.02, 0.490994, 0.561899, 0.873811, , 
541981, 58115, 746537, 75192, 1.06, 0.490531, 0.562555, 0.871971, , 
541926, 58110, 746453, 75174, 1.10, 0.490563, 0.562299, 0.872424, , 
542179, 58152, 746763, 75168, 1.14, 0.491086, 0.561301, 0.874907, , 
542544, 58201, 747242, 75191, 1.18, 0.491433, 0.560626, 0.876579, , 
542345, 58155, 747000, 75209, 1.22, 0.490566, 0.561761, 0.873264, , 
542222, 58142, 746819, 75188, 1.26, 0.490572, 0.561686, 0.873392, , 
542147, 58121, 746733, 75203, 1.31, 0.490116, 0.562321, 0.871595, , 
542266, 58138, 746878, 75208, 1.35, 0.490265, 0.562063, 0.872260, , 
542218, 58137, 746808, 75193, 1.38, 0.490411, 0.561850, 0.872851, , 
542109, 58115, 746661, 75188, 1.43, 0.490048, 0.562113, 0.871797, , 
541952, 58096, 746447, 75170, 1.47, 0.489972, 0.562208, 0.871513, , 
542253, 58131, 746843, 75199, 1.51, 0.490068, 0.561917, 0.872137, , 
542423, 58159, 747068, 75200, 1.55, 0.490412, 0.561336, 0.873651, , 
542501, 58157, 747182, 75226, 1.58, 0.490047, 0.561725, 0.872397, , 
542347, 58129, 746976, 75220, 1.63, 0.489643, 0.562120, 0.871064, , 
542377, 58133, 747017, 75217, 1.67, 0.489671, 0.561929, 0.871410, , 
542550, 58168, 747223, 75207, 1.70, 0.490250, 0.561106, 0.873721, , 
542575, 58165, 747263, 75218, 1.75, 0.490050, 0.561293, 0.873074, , 
542423, 58137, 747070, 75222, 1.78, 0.489638, 0.561920, 0.871365, , 
542475, 58161, 747113, 75185, 1.83, 0.490286, 0.560813, 0.874242, , 
542319, 58131, 746914, 75188, 1.87, 0.489819, 0.561430, 0.872449, , 
542453, 58136, 747102, 75230, 1.90, 0.489489, 0.562048, 0.870903, , 
542317, 58127, 746905, 75199, 1.95, 0.489686, 0.561749, 0.871716, , 
542393, 58132, 746998, 75210, 1.98, 0.489575, 0.561793, 0.871451, , 
542314, 58111, 746893, 75222, 2.03, 0.489134, 0.562398, 0.869729, , 
542447, 58129, 747067, 75235, 2.07, 0.489266, 0.562277, 0.870151, , 
542383, 58124, 746968, 75217, 2.11, 0.489331, 0.562062, 0.870601, , 
542424, 58138, 747005, 75194, 2.15, 0.489669, 0.561345, 0.872314, , 
542643, 58178, 747283, 75196, 2.19, 0.490251, 0.560649, 0.874434, , 
542603, 58160, 747250, 75220, 2.23, 0.489768, 0.561381, 0.872434, , 
542594, 58163, 747224, 75207, 2.27, 0.489908, 0.561103, 0.873116, , 
542629, 58171, 747265, 75200, 2.31, 0.490057, 0.560805, 0.873846, , 
542722, 58184, 747392, 75211, 2.35, 0.490164, 0.560757, 0.874111, , 
542561, 58152, 747176, 75212, 2.39, 0.489645, 0.561366, 0.872238, , 
542507, 58143, 747109, 75208, 2.43, 0.489532, 0.561440, 0.871923, , 
542592, 58169, 747203, 75187, 2.47, 0.490126, 0.560623, 0.874252, , 
542521, 58152, 747098, 75191, 2.51, 0.489796, 0.561014, 0.873055, , 
542685, 58174, 747336, 75206, 2.55, 0.489952, 0.560774, 0.873706, , 
542475, 58137, 747056, 75209, 2.59, 0.489442, 0.561610, 0.871498, , 
542409, 58120, 746970, 75216, 2.63, 0.489092, 0.562029, 0.870225, , 
542463, 58140, 747027, 75195, 2.67, 0.489593, 0.561313, 0.872228, , 
542583, 58153, 747192, 75209, 2.71, 0.489597, 0.561243, 0.872345, , 
542473, 58131, 747059, 75211, 2.75, 0.489238, 0.561655, 0.871065, , 
542611, 58172, 747205, 75174, 2.79, 0.490160, 0.560270, 0.874865, , 
542458, 58139, 747018, 75189, 2.83, 0.489576, 0.561176, 0.872411, , 
542725, 58182, 747367, 75189, 2.87, 0.490082, 0.560235, 0.874780, , 
542562, 58156, 747140, 75185, 2.91, 0.489782, 0.560740, 0.873457, , 
542633, 58167, 747249, 75190, 2.95, 0.489901, 0.560580, 0.873919, , 
542700, 58173, 747334, 75198, 2.99, 0.489860, 0.560565, 0.873868, , 
542635, 58170, 747242, 75181, 3.03, 0.489999, 0.560357, 0.874441, , 
542721, 58173, 747363, 75198, 3.07, 0.489781, 0.560487, 0.873849, , 
542610, 58158, 747217, 75195, 3.11, 0.489672, 0.560800, 0.873166, , 
542510, 58147, 747084, 75181, 3.15, 0.489662, 0.560784, 0.873174, , 
542754, 58172, 747416, 75214, 3.19, 0.489621, 0.560773, 0.873119, , 
542690, 58165, 747328, 75204, 3.23, 0.489616, 0.560742, 0.873158, , 
542672, 58162, 747298, 75205, 3.27, 0.489578, 0.560850, 0.872923, , 
542805, 58187, 747471, 75201, 3.31, 0.489956, 0.560276, 0.874491, , 
542690, 58171, 747321, 75193, 3.35, 0.489827, 0.560466, 0.873964, , 
542695, 58161, 747346, 75216, 3.39, 0.489457, 0.561015, 0.872448, , 
542582, 58137, 747200, 75223, 3.43, 0.489038, 0.561596, 0.870800, , 
542724, 58162, 747384, 75222, 3.47, 0.489382, 0.561073, 0.872225, , 
542651, 58146, 747287, 75225, 3.51, 0.489095, 0.561415, 0.871182, , 
542477, 58112, 747074, 75233, 3.55, 0.488554, 0.562204, 0.868997, , 
542555, 58145, 747148, 75191, 3.59, 0.489422, 0.560879, 0.872597, , 
542701, 58160, 747342, 75208, 3.63, 0.489399, 0.560811, 0.872662, , 
542906, 58172, 747637, 75256, 3.67, 0.489048, 0.561302, 0.871275, , 
542620, 58133, 747264, 75235, 3.71, 0.488754, 0.561745, 0.870063, , 
542469, 58122, 747055, 75209, 3.75, 0.488936, 0.561612, 0.870594, , 
542478, 58121, 747063, 75216, 3.79, 0.488867, 0.561778, 0.870214, , 
542477, 58125, 747069, 75213, 3.83, 0.489012, 0.561682, 0.870621, , 
542454, 58116, 747040, 75217, 3.88, 0.488782, 0.561867, 0.869924, , 
542552, 58132, 747162, 75213, 3.91, 0.488975, 0.561431, 0.870945, , 
542440, 58120, 747001, 75195, 3.95, 0.488975, 0.561383, 0.871019, , 
542413, 58116, 746966, 75188, 4.00, 0.488936, 0.561290, 0.871094, , 
542531, 58141, 747121, 75180, 4.03, 0.489371, 0.560657, 0.872853, , 
542503, 58130, 747085, 75195, 4.08, 0.489090, 0.561156, 0.871575, , 
542610, 58135, 747244, 75219, 4.12, 0.488862, 0.561371, 0.870837, , 
542508, 58135, 747092, 75183, 4.15, 0.489247, 0.560816, 0.872384, , 
542440, 58124, 747001, 75176, 4.20, 0.489116, 0.560874, 0.872061, , 
542595, 58138, 747217, 75209, 4.23, 0.489024, 0.561175, 0.871429, , 
542783, 58173, 747449, 75199, 4.28, 0.489547, 0.560282, 0.873751, , 
542875, 58182, 747578, 75209, 4.32, 0.489517, 0.560202, 0.873822, , 
542931, 58186, 747663, 75225, 4.36, 0.489446, 0.560401, 0.873385, , 
542766, 58171, 747431, 75193, 4.40, 0.489541, 0.560169, 0.873915, , 
542828, 58179, 747520, 75202, 4.44, 0.489588, 0.560171, 0.873999, , 
542785, 58180, 747457, 75178, 4.48, 0.489786, 0.559697, 0.875090, , 
542759, 58174, 747426, 75180, 4.52, 0.489673, 0.559834, 0.874674, , 
542678, 58153, 747326, 75199, 4.56, 0.489239, 0.560613, 0.872686, , 
542814, 58168, 747518, 75215, 4.60, 0.489254, 0.560524, 0.872851, , 
542785, 58163, 747471, 75215, 4.64, 0.489188, 0.560651, 0.872535, , 
542776, 58159, 747466, 75216, 4.68, 0.489081, 0.560691, 0.872282, , 
542714, 58154, 747389, 75209, 4.72, 0.489139, 0.560711, 0.872354, , 
542869, 58172, 747597, 75229, 4.76, 0.489188, 0.560687, 0.872480, , 
542782, 58159, 747482, 75222, 4.80, 0.489058, 0.560809, 0.872058, , 
542788, 58155, 747499, 75235, 4.84, 0.488895, 0.561112, 0.871297, , 
542590, 58133, 747227, 75203, 4.88, 0.488867, 0.560988, 0.871440, , 
542298, 58094, 746866, 75213, 4.92, 0.488596, 0.562230, 0.869032, , 
542052, 58097, 746176, 75206, 4.96, 0.489630, 0.563905, 0.868284, , 
542018, 58073, 746401, 75220, 5.00, 0.488912, 0.563673, 0.867370, , 
541202, 58081, 733423, 75196, 5.04, 0.492277, 0.598384, 0.822678, , 
427668, 58076, 644517, 75224, 5.08, 0.973848, 0.859594, 1.132917, , 
457756, 58112, 666324, 75228, 5.12, 0.836003, 0.792632, 1.054717, , 
457922, 58141, 666239, 75210, 5.16, 0.836282, 0.792407, 1.055369, , 
457776, 58151, 665898, 75226, 5.20, 0.837286, 0.793867, 1.054693, , 
457227, 58137, 665561, 75232, 5.24, 0.839249, 0.795048, 1.055594, , 
456608, 58109, 664754, 75228, 5.28, 0.841035, 0.797387, 1.054739, , 
456246, 58120, 664493, 75231, 5.32, 0.843045, 0.798259, 1.056105, , 
455822, 58109, 663885, 75253, 5.36, 0.844560, 0.800693, 1.054786, , 
455379, 58086, 663206, 75251, 5.40, 0.845740, 0.802702, 1.053616, , 
454754, 58097, 662123, 75241, 5.44, 0.848937, 0.805728, 1.053627, , 
454328, 58126, 661702, 75235, 5.48, 0.851876, 0.806849, 1.055805, , 
453930, 58113, 661250, 75237, 5.52, 0.853211, 0.808280, 1.055589, , 
453634, 58113, 660835, 75221, 5.56, 0.854546, 0.809117, 1.056146, , 
453453, 58123, 660525, 75239, 5.60, 0.855715, 0.810545, 1.055728, , 
452910, 58102, 659812, 75228, 5.64, 0.857427, 0.812427, 1.055389, 1, 0.802
452641, 58117, 659393, 75215, 5.68, 0.859171, 0.813359, 1.056324, , 
452477, 58134, 659120, 75236, 5.72, 0.860511, 0.814757, 1.056157, , 
452137, 58097, 658785, 75226, 5.76, 0.860746, 0.815513, 1.055465, , 
451987, 58129, 658428, 75197, 5.80, 0.862552, 0.815829, 1.057270, , 
451866, 58138, 658238, 75217, 5.84, 0.863416, 0.816947, 1.056882, , 
451453, 58104, 657658, 75223, 5.88, 0.864090, 0.818884, 1.055205, , 
451188, 58098, 657313, 75202, 5.92, 0.865080, 0.819379, 1.055776, , 
451072, 58110, 657051, 75207, 5.96, 0.866029, 0.820317, 1.055725, , 
450926, 58131, 656802, 75211, 6.00, 0.867431, 0.821188, 1.056312, , 
450618, 58105, 656440, 75242, 6.04, 0.867913, 0.823130, 1.054407, , 
450347, 58109, 656034, 75216, 6.08, 0.869285, 0.823680, 1.055368, , 
450127, 58111, 655718, 75227, 6.12, 0.870355, 0.824946, 1.055045, , 
449948, 58121, 655456, 75225, 6.16, 0.871521, 0.825698, 1.055497, , 
449625, 58108, 654977, 75215, 6.20, 0.872533, 0.826903, 1.055181, , 
449479, 58134, 654678, 75197, 6.24, 0.874113, 0.827341, 1.056532, , 
449183, 58107, 654316, 75207, 6.28, 0.874510, 0.828724, 1.055249, , 
448971, 58106, 653936, 75204, 6.32, 0.875441, 0.829815, 1.054984, , 
448771, 58129, 653601, 75201, 6.36, 0.877162, 0.830767, 1.055846, , 
448629, 58111, 653390, 75184, 6.40, 0.877176, 0.830962, 1.055615, , 
448472, 58097, 653221, 75201, 6.44, 0.877399, 0.831939, 1.054643, , 
448315, 58097, 652982, 75201, 6.48, 0.878116, 0.832677, 1.054570, , 
448145, 58107, 652699, 75191, 6.53, 0.879244, 0.833283, 1.055157, , 
447956, 58113, 652393, 75178, 6.56, 0.880318, 0.833879, 1.055690, , 
447798, 58107, 652188, 75188, 6.61, 0.880829, 0.834781, 1.055162, , 
447687, 58107, 652056, 75195, 6.65, 0.881336, 0.835376, 1.055017, , 
447779, 58140, 652209, 75218, 6.69, 0.882077, 0.835520, 1.055723, , 
447494, 58113, 651768, 75207, 6.73, 0.882430, 0.836588, 1.054795, , 
447364, 58131, 651697, 75197, 6.77, 0.883658, 0.836540, 1.056325, , 
447287, 58115, 651509, 75200, 6.80, 0.883447, 0.837202, 1.055237, , 
446990, 58068, 651147, 75215, 6.85, 0.883150, 0.838724, 1.052969, , 
446942, 58061, 651116, 75226, 6.89, 0.883123, 0.839115, 1.052446, , 
446860, 58071, 650951, 75214, 6.93, 0.883851, 0.839304, 1.053076, , 
446734, 58068, 650820, 75240, 6.97, 0.884323, 0.840407, 1.052256, , 
446601, 58051, 650596, 75232, 7.01, 0.884333, 0.840886, 1.051668, , 
446450, 58062, 650371, 75232, 7.05, 0.885412, 0.841583, 1.052079, , 
446356, 58100, 650188, 75217, 7.09, 0.887182, 0.841749, 1.053975, , 
446247, 58120, 649965, 75227, 7.13, 0.888386, 0.842708, 1.054204, , 
445909, 58120, 649438, 75215, 7.17, 0.889936, 0.844021, 1.054400, , 
445592, 58123, 648954, 75241, 7.21, 0.891497, 0.846221, 1.053504, , 
445210, 58126, 648327, 75231, 7.25, 0.893357, 0.847901, 1.053610, , 
444573, 58136, 647356, 75215, 7.29, 0.896639, 0.850493, 1.054257, , 
443683, 58112, 645962, 75200, 7.33, 0.899894, 0.854437, 1.053202, , 
442897, 58166, 644853, 75204, 7.37, 0.905423, 0.858007, 1.055263, , 
441922, 58169, 643484, 75201, 7.41, 0.910038, 0.862210, 1.055471, , 
440803, 58128, 641853, 75205, 7.45, 0.913782, 0.867433, 1.053433, , 
439582, 58118, 640097, 75215, 7.49, 0.919106, 0.873223, 1.052545, , 
438083, 58081, 637967, 75225, 7.53, 0.924792, 0.880209, 1.050651, , 
436838, 58091, 636222, 75213, 7.57, 0.930968, 0.885408, 1.051456, , 
435551, 58077, 634363, 75204, 7.61, 0.936511, 0.891065, 1.051002, , 
434443, 58099, 632560, 75202, 7.65, 0.942498, 0.896748, 1.051017, , 
433032, 58113, 630539, 75216, 7.69, 0.949647, 0.903574, 1.050990, , 
431407, 58106, 628246, 75207, 7.73, 0.957094, 0.910676, 1.050971, , 
430101, 58109, 626352, 75214, 7.77, 0.963403, 0.916949, 1.050661, , 
428923, 58119, 624601, 75200, 7.81, 0.969367, 0.922217, 1.051127, , 
427492, 58117, 622491, 75179, 7.85, 0.976134, 0.928474, 1.051331, , 
426136, 58140, 620385, 75188, 7.89, 0.983444, 0.935546, 1.051198, , 
424519, 58165, 618102, 75201, 7.93, 0.992103, 0.943326, 1.051707, , 
422826, 58138, 615631, 75214, 7.97, 0.999329, 0.951748, 1.049993, , 
421267, 58117, 613452, 75238, 8.01, 1.006148, 0.959538, 1.048575, , 
419774, 58098, 611364, 75246, 8.05, 1.012743, 0.966624, 1.047711, , 
418091, 58093, 608742, 75229, 8.09, 1.020787, 0.974832, 1.047141, , 
416378, 58153, 606398, 75229, 8.13, 1.031300, 0.982608, 1.049553, , 
414911, 58163, 604236, 75210, 8.17, 1.038873, 0.989298, 1.050111, , 
413352, 58160, 602104, 75200, 8.21, 1.046470, 0.996155, 1.050510, , 
411758, 58138, 599700, 75198, 8.25, 1.053602, 1.004165, 1.049232, , 
409916, 58151, 597005, 75170, 8.29, 1.063233, 1.012493, 1.050114, , 
407956, 58120, 594380, 75205, 8.33, 1.071949, 1.022313, 1.048553, , 
406384, 58113, 592159, 75208, 8.37, 1.079602, 1.029939, 1.048219, , 
405096, 58136, 590386, 75213, 8.41, 1.086907, 1.036117, 1.049019, , 
403690, 58143, 588281, 75206, 8.45, 1.094267, 1.043129, 1.049024, , 
401806, 58130, 585586, 75190, 8.49, 1.103381, 1.051955, 1.048886, , 
400509, 58175, 583824, 75224, 8.53, 1.111580, 1.058940, 1.049710, , 
399263, 58183, 582155, 75192, 8.57, 1.118237, 1.063853, 1.051120, , 
398221, 58173, 580590, 75202, 8.61, 1.123232, 1.069547, 1.050194, , 
396857, 58170, 578432, 75207, 8.65, 1.130147, 1.077187, 1.049165, , 
394987, 58172, 575877, 75199, 8.69, 1.139881, 1.085895, 1.049716, , 
393559, 58157, 574060, 75236, 8.74, 1.146764, 1.093256, 1.048944, , 
392740, 58151, 572908, 75233, 8.78, 1.150816, 1.097225, 1.048842, , 
392037, 58183, 571693, 75221, 8.82, 1.155607, 1.101182, 1.049424, , 
390977, 58235, 570102, 75212, 8.86, 1.162975, 1.106558, 1.050984, , 
389489, 58216, 568078, 75212, 8.90, 1.170109, 1.113727, 1.050625, , 
388336, 58193, 566556, 75221, 8.94, 1.175367, 1.119376, 1.050020, , 
387800, 58220, 565738, 75228, 8.98, 1.179142, 1.122475, 1.050483, , 
386691, 58204, 564149, 75198, 9.02, 1.184439, 1.127341, 1.050649, , 
385805, 58231, 562981, 75192, 9.06, 1.190082, 1.131357, 1.051906, , 
385278, 58227, 562203, 75220, 9.10, 1.192738, 1.134895, 1.050968, , 
384429, 58176, 560905, 75211, 9.13, 1.195459, 1.139313, 1.049280, , 
383853, 58182, 560091, 75218, 9.17, 1.198738, 1.142428, 1.049290, , 
383024, 58175, 558966, 75211, 9.22, 1.202915, 1.146293, 1.049396, , 
382505, 58185, 558174, 75221, 9.26, 1.206041, 1.149419, 1.049262, , 
382030, 58192, 557495, 75222, 9.30, 1.208830, 1.151899, 1.049424, , 
381513, 58169, 556758, 75221, 9.34, 1.210792, 1.154538, 1.048724, , 
381270, 58193, 556405, 75225, 9.38, 1.212940, 1.155924, 1.049325, , 
380973, 58215, 555905, 75194, 9.42, 1.215308, 1.156905, 1.050481, , 
380831, 58235, 555686, 75228, 9.46, 1.216773, 1.158611, 1.050200, , 
380451, 58214, 555104, 75232, 9.50, 1.218078, 1.160830, 1.049316, , 
380324, 58216, 555020, 75229, 9.54, 1.218831, 1.161055, 1.049762, , 
380177, 58224, 554941, 75214, 9.58, 1.219903, 1.160940, 1.050790, , 
380326, 58207, 554922, 75233, 9.62, 1.218504, 1.161518, 1.049062, , 
380213, 58187, 554708, 75233, 9.66, 1.218409, 1.162295, 1.048279, , 
380069, 58151, 554644, 75224, 9.70, 1.217918, 1.162287, 1.047864, , 
380400, 58185, 554902, 75192, 9.74, 1.217333, 1.160492, 1.048980, , 
380575, 58143, 555383, 75241, 9.78, 1.214914, 1.160058, 1.047287, , 
380815, 58123, 555466, 75214, 9.82, 1.212920, 1.159034, 1.046493, , 
380949, 58102, 555774, 75222, 9.86, 1.211461, 1.158131, 1.046049, , 
381120, 58106, 555951, 75203, 9.90, 1.210684, 1.156980, 1.046417, , 
381720, 58122, 556870, 75236, 9.94, 1.208028, 1.154535, 1.046333, , 
382246, 58117, 557502, 75203, 9.98, 1.205035, 1.151364, 1.046614, , 
382943, 58129, 558331, 75224, 10.02, 1.201730, 1.148932, 1.045953, , 
383653, 58155, 559433, 75217, 10.06, 1.198854, 1.144770, 1.047245, , 
384488, 58205, 560511, 75227, 10.10, 1.196164, 1.141158, 1.048202, , 
385349, 58215, 561765, 75219, 10.14, 1.191939, 1.136439, 1.048837, , 
386223, 58204, 562939, 75221, 10.18, 1.186917, 1.132285, 1.048249, , 
386959, 58204, 564070, 75234, 10.22, 1.183022, 1.128588, 1.048232, , 
387790, 58187, 565028, 75218, 10.26, 1.178035, 1.124739, 1.047385, , 
388709, 58191, 566448, 75235, 10.30, 1.173332, 1.120135, 1.047492, , 
389887, 58198, 568127, 75219, 10.34, 1.167387, 1.113741, 1.048167, , 
391088, 58214, 569695, 75225, 10.38, 1.161656, 1.108346, 1.048098, , 
392133, 58210, 571269, 75200, 10.42, 1.156055, 1.102115, 1.048943, , 
393294, 58158, 572902, 75235, 10.46, 1.148178, 1.097299, 1.046367, , 
394552, 58157, 574814, 75238, 10.50, 1.141608, 1.090664, 1.046709, , 
396012, 58176, 576905, 75236, 10.54, 1.134719, 1.083292, 1.047473, , 
397497, 58189, 578953, 75240, 10.58, 1.127518, 1.076256, 1.047630, , 
398416, 58164, 580129, 75254, 10.62, 1.121914, 1.072541, 1.046033, , 
400215, 58151, 582911, 75250, 10.66, 1.112238, 1.062791, 1.046525, , 
401768, 58172, 585012, 75261, 10.70, 1.105053, 1.055834, 1.046616, , 
403325, 58151, 587293, 75233, 10.74, 1.096400, 1.047240, 1.046942, , 
405117, 58159, 589741, 75240, 10.78, 1.087610, 1.039044, 1.046742, , 
406697, 58130, 592008, 75236, 10.82, 1.078625, 1.031203, 1.045987, , 
408468, 58134, 594495, 75241, 10.86, 1.069875, 1.022888, 1.045936, , 
410096, 58129, 596729, 75247, 10.90, 1.061561, 1.015488, 1.045370, , 
411886, 58127, 599304, 75256, 10.94, 1.052579, 1.007050, 1.045210, , 
413600, 58111, 601786, 75244, 10.98, 1.043519, 0.998399, 1.045192, , 
415596, 58117, 604455, 75242, 11.02, 1.033879, 0.989425, 1.044929, , 
417403, 58105, 606831, 75249, 11.06, 1.024579, 0.981705, 1.043673, , 
419314, 58102, 609796, 75256, 11.10, 1.015128, 0.972068, 1.044296, , 
421520, 58099, 612956, 75240, 11.14, 1.004286, 0.961222, 1.044801, , 
423740, 58126, 615974, 75215, 11.18, 0.994488, 0.950652, 1.046112, , 
425897, 58145, 618955, 75236, 11.22, 0.984768, 0.941484, 1.045974, 2, 0.796
427756, 58186, 621709, 75186, 11.26, 0.977299, 0.931195, 1.049510, , 
430307, 58193, 625202, 75209, 11.30, 0.965379, 0.920519, 1.048733, , 
432741, 58196, 628463, 75219, 11.34, 0.953943, 0.910301, 1.047942, , 
435121, 58200, 631928, 75233, 11.39, 0.942861, 0.899594, 1.048096, , 
437515, 58224, 635264, 75240, 11.42, 0.932478, 0.889169, 1.048708, , 
439349, 58205, 637796, 75223, 11.47, 0.923251, 0.880696, 1.048320, , 
441838, 58210, 641524, 75257, 11.51, 0.911868, 0.869859, 1.048294, , 
444359, 58244, 644914, 75231, 11.55, 0.901422, 0.858540, 1.049947, , 
446592, 58184, 648001, 75249, 11.58, 0.889056, 0.849397, 1.046691, , 
448947, 58193, 651305, 75241, 11.62, 0.878612, 0.838932, 1.047298, , 
451315, 58197, 654820, 75254, 11.66, 0.867988, 0.828431, 1.047749, , 
454044, 58199, 658641, 75232, 11.70, 0.855723, 0.816115, 1.048533, , 
456666, 58208, 662404, 75237, 11.74, 0.844258, 0.804766, 1.049073, , 
459245, 58207, 665904, 75235, 11.78, 0.832700, 0.794090, 1.048621, , 
461452, 58197, 668978, 75262, 11.83, 0.822539, 0.785530, 1.047113, , 
463738, 58201, 672243, 75272, 11.87, 0.812568, 0.775985, 1.047145, , 
466218, 58213, 675473, 75236, 11.91, 0.802077, 0.765359, 1.047975, , 
468722, 58171, 678934, 75224, 11.95, 0.789640, 0.754736, 1.046247, , 
471261, 58188, 682520, 75222, 11.99, 0.779185, 0.744065, 1.047200, , 
473902, 58184, 686521, 75232, 12.03, 0.767609, 0.732551, 1.047857, , 
476404, 58178, 689730, 75234, 12.07, 0.756624, 0.723205, 1.046209, , 
478747, 58160, 693408, 75257, 12.11, 0.745953, 0.713102, 1.046068, , 
481353, 58169, 697006, 75234, 12.15, 0.735162, 0.702054, 1.047158, , 
483836, 58184, 699889, 75227, 12.19, 0.725162, 0.693547, 1.045585, , 
486134, 58188, 703033, 75221, 12.23, 0.715607, 0.684352, 1.045672, , 
488787, 58187, 707201, 75223, 12.27, 0.704436, 0.672491, 1.047503, , 
491477, 58183, 710787, 75222, 12.31, 0.693066, 0.662269, 1.046501, , 
493981, 58212, 714266, 75229, 12.35, 0.683687, 0.652616, 1.047611, , 
496480, 58245, 717912, 75222, 12.39, 0.674522, 0.642165, 1.050387, , 
498908, 58230, 721376, 75236, 12.43, 0.664013, 0.632838, 1.049262, , 
501386, 58202, 724683, 75217, 12.47, 0.652891, 0.623110, 1.047794, , 
503830, 58212, 727905, 75231, 12.51, 0.643293, 0.614544, 1.046782, , 
506111, 58207, 731059, 75235, 12.55, 0.633875, 0.605936, 1.046109, , 
508690, 58246, 734817, 75265, 12.59, 0.624846, 0.596405, 1.047687, , 
510935, 58212, 737952, 75233, 12.63, 0.614641, 0.586967, 1.047147, , 
513311, 58209, 741543, 75240, 12.67, 0.605042, 0.577370, 1.047928, , 
516307, 58223, 745434, 75219, 12.71, 0.593627, 0.566259, 1.048331, , 
518809, 58224, 748801, 75244, 12.75, 0.583770, 0.557845, 1.046475, , 
521492, 58227, 752764, 75233, 12.79, 0.573322, 0.546911, 1.048291, , 
523801, 58226, 755723, 75244, 12.84, 0.564247, 0.539298, 1.046262, , 
526109, 58217, 758920, 75243, 12.88, 0.554935, 0.530762, 1.045543, , 
528566, 58249, 762320, 75246, 12.92, 0.546526, 0.521833, 1.047320, , 
