FlowCell Text Data File: 181103_setA_ribodeg_s5.csv
Software Version: 1.46A
Date: 2018-11-03
Time: 12:45:22
User: culviner

Experiment name: 181103_setA_ribodeg

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: sucrose 5.0% to 20.0% v/v
Time: 4 hours
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: .3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 25.00

*** SCANNING SETTINGS ***
Scanning mode: DUAL UV OD
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Wavelength: 280 nm
Sensitivity: 0
Integration time: 200 ms
LED1 (260 nm) On Time: 8 ms
PD2 (280 nm) On Time: 4 ms
Sample A Zero: 681051
Source A Zero: 57266.4
Sample B Zero: 974534.4
Source B Zero: 75822.8

Data Columns:
SampleA, SourceA, SampleB, SourceB, Position, AbsA, AbsB, ratioA/B, Fraction Number, Fraction Volume (ml)
505330, 57072, 683670, 75252, 0.00, 0.603655, 0.699271, 0.863264, , 
505404, 57075, 683846, 75265, 0.00, 0.603463, 0.699100, 0.863200, , 
506119, 57081, 686081, 75279, 0.02, 0.600786, 0.692898, 0.867062, , 
507232, 57066, 688683, 75267, 0.06, 0.595753, 0.684947, 0.869780, , 
501765, 57054, 625666, 75272, 0.10, 0.617496, 0.878507, 0.702892, , 
375186, 57073, 421757, 75258, 0.14, 1.213001, 1.673062, 0.725019, , 
467012, 57078, 636223, 75271, 0.18, 0.765220, 0.844755, 0.905849, , 
479126, 57065, 627809, 75263, 0.22, 0.712355, 0.871374, 0.817508, , 
482134, 57059, 637734, 75263, 0.26, 0.699335, 0.839759, 0.832780, , 
483264, 57063, 642668, 75278, 0.30, 0.694688, 0.824626, 0.842428, , 
483734, 57074, 645116, 75263, 0.34, 0.693094, 0.816562, 0.848795, , 
484247, 57112, 646513, 75240, 0.38, 0.692287, 0.811586, 0.853005, , 
484481, 57097, 647252, 75244, 0.42, 0.690761, 0.809390, 0.853434, , 
484587, 57079, 647791, 75236, 0.46, 0.689668, 0.807498, 0.854080, , 
484805, 57081, 648421, 75259, 0.50, 0.688820, 0.806155, 0.854451, , 
485041, 57102, 649021, 75259, 0.54, 0.688576, 0.804291, 0.856129, , 
485054, 57082, 649327, 75276, 0.58, 0.687805, 0.803796, 0.855696, , 
485125, 57072, 649634, 75293, 0.62, 0.687147, 0.803298, 0.855407, , 
485215, 57077, 649916, 75285, 0.66, 0.686946, 0.802209, 0.856318, , 
485344, 57093, 650138, 75258, 0.70, 0.686976, 0.800798, 0.857865, , 
485496, 57087, 650359, 75288, 0.74, 0.686120, 0.800916, 0.856669, , 
485418, 57063, 650285, 75275, 0.78, 0.685589, 0.800797, 0.856133, , 
485450, 57064, 650390, 75257, 0.82, 0.685490, 0.799990, 0.856873, , 
485594, 57081, 650636, 75249, 0.86, 0.685492, 0.799013, 0.857923, , 
485721, 57091, 650882, 75245, 0.90, 0.685316, 0.798144, 0.858636, , 
485666, 57058, 650889, 75265, 0.94, 0.684364, 0.798658, 0.856893, , 
485736, 57061, 651027, 75255, 0.98, 0.684177, 0.797963, 0.857404, , 
485907, 57081, 651277, 75252, 1.02, 0.684174, 0.797109, 0.858319, , 
485957, 57074, 651345, 75261, 1.07, 0.683712, 0.797140, 0.857707, , 
486282, 57116, 651781, 75276, 1.10, 0.683850, 0.796192, 0.858900, , 
486250, 57119, 651761, 75245, 1.14, 0.684092, 0.795424, 0.860034, , 
486295, 57116, 651861, 75252, 1.19, 0.683795, 0.795302, 0.859792, , 
486412, 57132, 652041, 75253, 1.22, 0.683876, 0.794773, 0.860467, , 
486493, 57140, 652171, 75252, 1.27, 0.683822, 0.794344, 0.860863, , 
486488, 57131, 652197, 75255, 1.31, 0.683520, 0.794344, 0.860484, , 
486436, 57120, 652133, 75238, 1.34, 0.683345, 0.794086, 0.860542, , 
486586, 57134, 652357, 75260, 1.39, 0.683216, 0.793984, 0.860491, , 
486756, 57161, 652601, 75255, 1.43, 0.683468, 0.793096, 0.861772, , 
486681, 57140, 652528, 75257, 1.47, 0.683031, 0.793375, 0.860918, , 
486654, 57130, 652514, 75256, 1.51, 0.682786, 0.793391, 0.860592, , 
486368, 57073, 652172, 75253, 1.55, 0.681947, 0.794368, 0.858477, , 
486187, 57039, 651941, 75239, 1.59, 0.681489, 0.794707, 0.857535, , 
486291, 57043, 652103, 75266, 1.63, 0.681195, 0.794929, 0.856925, , 
486258, 57034, 652073, 75257, 1.67, 0.681011, 0.794781, 0.856854, , 
486226, 57016, 652056, 75278, 1.71, 0.680500, 0.795396, 0.855549, , 
486315, 57030, 652197, 75273, 1.75, 0.680628, 0.794826, 0.856323, , 
486368, 57047, 652275, 75242, 1.79, 0.681014, 0.793755, 0.857966, , 
486350, 57047, 652239, 75230, 1.83, 0.681090, 0.793545, 0.858288, , 
486227, 57017, 652091, 75235, 1.87, 0.680531, 0.794136, 0.856946, , 
486464, 57053, 652423, 75244, 1.91, 0.680826, 0.793351, 0.858165, , 
486375, 57032, 652333, 75250, 1.95, 0.680447, 0.793790, 0.857213, , 
486451, 57047, 652449, 75248, 1.99, 0.680665, 0.793378, 0.857933, , 
486581, 57075, 652612, 75225, 2.03, 0.681123, 0.792258, 0.859723, , 
486448, 57046, 652462, 75233, 2.07, 0.680642, 0.792936, 0.858382, , 
486399, 57023, 652429, 75254, 2.11, 0.680023, 0.793600, 0.856883, , 
486319, 57011, 652343, 75245, 2.15, 0.679929, 0.793625, 0.856738, , 
486486, 57035, 652569, 75250, 2.19, 0.680088, 0.793061, 0.857548, , 
486721, 57078, 652883, 75254, 2.23, 0.680641, 0.792198, 0.859181, , 
486731, 57080, 652904, 75254, 2.27, 0.680671, 0.792133, 0.859288, , 
486672, 57071, 652836, 75240, 2.31, 0.680597, 0.791968, 0.859373, , 
486620, 57049, 652776, 75252, 2.35, 0.680026, 0.792475, 0.858104, , 
486649, 57055, 652833, 75254, 2.39, 0.680120, 0.792353, 0.858355, , 
486597, 57057, 652775, 75230, 2.43, 0.680410, 0.791889, 0.859224, , 
486528, 57049, 652702, 75218, 2.47, 0.680413, 0.791793, 0.859332, , 
486675, 57059, 652914, 75254, 2.51, 0.680154, 0.792103, 0.858669, , 
486567, 57042, 652781, 75245, 2.55, 0.679998, 0.792272, 0.858288, , 
486841, 57085, 653145, 75256, 2.59, 0.680388, 0.791443, 0.859680, , 
486725, 57071, 652994, 75232, 2.63, 0.680374, 0.791266, 0.859854, , 
486584, 57044, 652816, 75228, 2.67, 0.679998, 0.791709, 0.858900, , 
486961, 57098, 653314, 75258, 2.71, 0.680350, 0.790975, 0.860140, , 
487037, 57118, 653412, 75240, 2.75, 0.680747, 0.790191, 0.861497, , 
487113, 57131, 653507, 75234, 2.79, 0.680893, 0.789737, 0.862177, , 
487095, 57120, 653502, 75248, 2.83, 0.680575, 0.790127, 0.861348, , 
487170, 57126, 653618, 75261, 2.87, 0.680475, 0.790118, 0.861232, , 
487149, 57126, 653579, 75245, 2.91, 0.680563, 0.789810, 0.861680, , 
487235, 57134, 653709, 75253, 2.95, 0.680488, 0.789623, 0.861789, , 
487228, 57112, 653724, 75291, 2.99, 0.679730, 0.790594, 0.859770, , 
487284, 57123, 653802, 75289, 3.03, 0.679889, 0.790300, 0.860291, , 
487138, 57103, 653614, 75267, 3.07, 0.679785, 0.790291, 0.860171, , 
487186, 57112, 653676, 75257, 3.11, 0.679906, 0.789832, 0.860824, , 
487219, 57109, 653734, 75275, 3.15, 0.679660, 0.790135, 0.860182, , 
487097, 57092, 653580, 75256, 3.19, 0.679563, 0.790101, 0.860096, , 
486898, 57065, 653322, 75227, 3.23, 0.679431, 0.790120, 0.859909, , 
487061, 57085, 653550, 75250, 3.27, 0.679464, 0.790033, 0.860045, , 
487056, 57075, 653569, 75265, 3.31, 0.679126, 0.790376, 0.859244, , 
487242, 57104, 653815, 75271, 3.35, 0.679384, 0.789778, 0.860221, , 
487167, 57094, 653728, 75258, 3.39, 0.679341, 0.789698, 0.860254, , 
487264, 57103, 653864, 75277, 3.43, 0.679256, 0.789788, 0.860049, , 
487158, 57098, 653729, 75239, 3.47, 0.679522, 0.789186, 0.861041, , 
487294, 57131, 653898, 75221, 3.51, 0.680133, 0.788183, 0.862913, , 
487295, 57111, 653925, 75256, 3.55, 0.679413, 0.789038, 0.861065, , 
487444, 57121, 654145, 75294, 3.59, 0.679145, 0.789377, 0.860356, , 
487426, 57131, 654126, 75263, 3.63, 0.679579, 0.788606, 0.861748, , 
487256, 57100, 653923, 75261, 3.68, 0.679182, 0.789178, 0.860620, , 
487502, 57135, 654245, 75274, 3.71, 0.679403, 0.788533, 0.861603, , 
487313, 57098, 654025, 75279, 3.75, 0.678871, 0.789345, 0.860043, , 
487260, 57084, 653954, 75280, 3.79, 0.678592, 0.789591, 0.859422, , 
487435, 57119, 654202, 75281, 3.83, 0.679111, 0.788853, 0.860884, , 
487299, 57095, 654029, 75267, 3.87, 0.678822, 0.789012, 0.860345, , 
487312, 57103, 654056, 75264, 3.92, 0.679054, 0.788848, 0.860818, , 
487355, 57101, 654114, 75273, 3.95, 0.678802, 0.788910, 0.860430, , 
487457, 57126, 654253, 75258, 4.00, 0.679270, 0.788080, 0.861930, , 
487481, 57129, 654294, 75261, 4.03, 0.679276, 0.788034, 0.861988, , 
487506, 57131, 654328, 75261, 4.08, 0.679243, 0.787930, 0.862061, , 
487350, 57100, 654139, 75263, 4.12, 0.678787, 0.788565, 0.860788, , 
487206, 57072, 653960, 75262, 4.16, 0.678389, 0.789090, 0.859710, , 
487134, 57056, 653879, 75264, 4.19, 0.678117, 0.789394, 0.859036, , 
487301, 57086, 654093, 75260, 4.24, 0.678491, 0.788627, 0.860345, , 
487337, 57092, 654156, 75263, 4.28, 0.678555, 0.788513, 0.860550, , 
487285, 57074, 654094, 75276, 4.32, 0.678128, 0.789052, 0.859421, , 
487371, 57087, 654214, 75280, 4.36, 0.678233, 0.788790, 0.859841, , 
487433, 57108, 654300, 75261, 4.40, 0.678726, 0.788016, 0.861310, , 
487587, 57132, 654497, 75267, 4.44, 0.678939, 0.787570, 0.862068, , 
487524, 57123, 654421, 75257, 4.48, 0.678881, 0.787536, 0.862032, , 
487517, 57122, 654408, 75247, 4.52, 0.678875, 0.787308, 0.862273, , 
487423, 57107, 654292, 75243, 4.56, 0.678732, 0.787558, 0.861818, , 
487367, 57081, 654244, 75277, 4.60, 0.678035, 0.788617, 0.859778, , 
487457, 57118, 654344, 75234, 4.64, 0.678983, 0.787157, 0.862576, , 
487319, 57086, 654179, 75240, 4.68, 0.678416, 0.787826, 0.861124, , 
487344, 57079, 654218, 75257, 4.72, 0.678060, 0.788161, 0.860306, , 
487216, 57065, 654057, 75243, 4.76, 0.678096, 0.788282, 0.860219, , 
487240, 57055, 654105, 75263, 4.80, 0.677636, 0.788670, 0.859214, , 
487357, 57075, 654250, 75265, 4.84, 0.677862, 0.788277, 0.859929, , 
487294, 57076, 654163, 75234, 4.88, 0.678162, 0.787715, 0.860924, , 
487456, 57094, 654379, 75256, 4.92, 0.678127, 0.787639, 0.860963, , 
487432, 57107, 654342, 75224, 4.96, 0.678694, 0.786895, 0.862496, , 
487631, 57122, 654621, 75267, 5.00, 0.678396, 0.787188, 0.861797, , 
487412, 57091, 654344, 75241, 5.04, 0.678205, 0.787345, 0.861382, , 
487484, 57101, 654448, 75246, 5.08, 0.678261, 0.787158, 0.861657, , 
487511, 57099, 654485, 75258, 5.12, 0.678076, 0.787366, 0.861195, , 
487515, 57102, 654496, 75252, 5.16, 0.678166, 0.787171, 0.861524, , 
487245, 57076, 653963, 75241, 5.20, 0.678368, 0.788519, 0.860307, , 
486520, 57019, 651364, 75248, 5.24, 0.679371, 0.796733, 0.852696, , 
489272, 57076, 662628, 75251, 5.28, 0.669874, 0.762255, 0.878805, , 
486807, 57083, 650892, 75273, 5.32, 0.680459, 0.798863, 0.851784, , 
316042, 57066, 400414, 75255, 5.36, 1.563754, 1.777652, 0.879674, , 
200221, 57043, 306998, 75257, 5.40, 2.496882, 2.313167, 1.079421, , 
202002, 57011, 310124, 75238, 5.44, 2.477614, 2.292238, 1.080871, , 
203407, 57017, 311735, 75252, 5.48, 2.463647, 2.282170, 1.079520, , 
203776, 57009, 312071, 75260, 5.52, 2.459652, 2.280213, 1.078694, , 
203819, 57008, 312043, 75245, 5.56, 2.459184, 2.279992, 1.078593, , 
203674, 57035, 311569, 75265, 5.60, 2.461609, 2.283592, 1.077955, , 
202934, 57024, 310844, 75243, 5.64, 2.468662, 2.287698, 1.079103, 1, 0.801
202998, 57061, 310467, 75244, 5.68, 2.469344, 2.290171, 1.078236, , 
202577, 57045, 309856, 75248, 5.72, 2.473018, 2.294249, 1.077921, , 
202243, 57054, 309314, 75243, 5.76, 2.476717, 2.297644, 1.077938, , 
201944, 57047, 308752, 75249, 5.80, 2.479493, 2.301470, 1.077352, , 
201582, 57062, 308136, 75241, 5.84, 2.483702, 2.305281, 1.077397, , 
